x, y, vx, vy, Paddle.y, paddle_position
0.5041666666666667,0.49333333333333335,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5083333333333333,0.4866666666666667,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5125,0.48,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5166666666666667,0.47333333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5208333333333334,0.4666666666666667,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.525,0.46,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5291666666666667,0.4533333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5333333333333333,0.44666666666666666,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5375,0.44,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5416666666666666,0.43333333333333335,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5458333333333333,0.4266666666666667,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.55,0.42,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5541666666666667,0.41333333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5583333333333333,0.4066666666666667,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5625,0.4,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5666666666666667,0.3933333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5708333333333333,0.38666666666666666,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.575,0.38,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5791666666666667,0.37333333333333335,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5833333333333334,0.36666666666666664,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5875,0.36,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5916666666666667,0.35333333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.5958333333333333,0.3466666666666667,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6,0.34,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6041666666666666,0.3333333333333333,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6083333333333333,0.32666666666666666,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6125,0.32,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6166666666666667,0.31333333333333335,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
0.6208333333333333,0.30666666666666664,0.0011058417596811116,-0.001851083739293069,0.3616666666666667,left
